Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
2.00801E+12,2-Jan-07,12/22/07 0:00,LAS,McCarran International,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,
2.00701E+12,3-Jan-07,10/14/06 0:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Costume,$25.00 ,Approved,$25.00 ,Approve in Full
2.00701E+12,3-Jan-07,10/7/06 0:00,LSE,La Crosse Municipal,Northwest Airlines,Passenger Property Loss,Checkpoint,Boxes - Jewelry; Cigarette; Music; etc.; Jewelry - Fine,$1;080.00 ,Canceled,$0.00 ,
2.00701E+12,3-Jan-07,12/25/06 0:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Toys - Other (including games; toys; play dolls etc.),$500.00 ,Canceled,$0.00 ,
2.00701E+12,3-Jan-07,12/24/06 0:00,SFO,San Francisco International,,Property Damage,Checked Baggage,,$220.00 ,Closed as a contractor claim,$0.00 ,
2.00801E+12,4-Jan-08,11/2/07 0:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Alcoholic beverages; Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers); Other,$302.60 ,Settled,$151.00 ,Settle
2.00801E+12,4-Jan-08,9/26/07 0:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Luggage (all types including footlockers); Other,$550.00 ,Settled,$332.35 ,Settle
2.00801E+12,4-Jan-08,12/6/07 0:00,SJC,Norman Y Mineta San Jose International,Continental Airlines,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,$600.00 ,Settled,$500.00 ,Settle
2.00801E+12,4-Jan-08,10/30/07 0:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,,$159.95 ,Settled,$79.98 ,Settle
2.00801E+12,4-Jan-08,11/19/07 0:00,TUS,Tucson International,,Property Damage,Checkpoint,Bags - Fabric; plastic; etc. (not purses),$62.68 ,Settled,$50.00 ,Settle
2.00801E+12,4-Jan-08,12/14/07 0:00,BUR,Bob Hope,Horizon Air,Passenger Property Loss,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,$52.83 ,Settled,$26.41 ,Settle
2.00901E+12,5-Jan-08,1/2/09 0:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Bags - Fabric; plastic; etc. (not purses),$21.00 ,Approved,$21.00 ,Approve in Full
2.00901E+12,5-Jan-08,12/21/08 0:00,BDL,Bradley International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$447.10 ,Canceled,$0.00 ,
2.00901E+12,5-Jan-08,1/3/09 0:00,AUS,Austin-Bergstrom International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),$100.00 ,Canceled,$0.00 ,
2.00801E+12,5-Jan-08,12/15/07 0:00,LAX,Los Angeles International Airport,American Airlines,Personal Injury,Checked Baggage,Other,$1;082.75 ,Denied,$0.00 ,Deny
2.00901E+12,5-Jan-08,12/18/08 0:00,MCO,Orlando International Airport,Spirit Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$50.00 ,Denied,$0.00 ,Deny
2.00901E+12,8-Jan-09,12/25/08 0:00,PHX,Phoenix Sky Harbor International,USAir,Property Damage,Checked Baggage,Computer - Laptop,$650.00 ,Denied,$0.00 ,Deny
2.00901E+12,8-Jan-09,12/27/08 0:00,FNT,Bishop International; Flint,Northwest Airlines,Property Damage,Checked Baggage,Candles - Decorative and other,$75.00 ,Denied,$0.00 ,Deny
2.00901E+12,8-Jan-09,12/28/08 0:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Computer - Laptop,$1;500.00 ,Denied,$0.00 ,Deny
2.00901E+12,8-Jan-09,1/6/09 0:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checkpoint,Cameras - Digital,,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,
2.00901E+12,8-Jan-09,1/6/09 0:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Other,$99.94 ,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,
